village,district,state
Sarab,Shupiyan,JAMMU & KASHMIR
Chaki - Hakim Baqar ,Shupiyan,JAMMU & KASHMIR
Musi Pora (Nusi Pora),Shupiyan,JAMMU & KASHMIR
Chak -I -Aziz Shah,Shupiyan,JAMMU & KASHMIR
Sazan Shopian,Shupiyan,JAMMU & KASHMIR
Ahagam,Shupiyan,JAMMU & KASHMIR
Pir Pora,Shupiyan,JAMMU & KASHMIR
Now Pora (Allow Pora Sheikh Pora),Shupiyan,JAMMU & KASHMIR
Now Pora Bala,Shupiyan,JAMMU & KASHMIR
Chedran,Shupiyan,JAMMU & KASHMIR
Ari Pora,Shupiyan,JAMMU & KASHMIR
Chitra Gam,Shupiyan,JAMMU & KASHMIR
Qongonah,Shupiyan,JAMMU & KASHMIR
Turka Wangam,Shupiyan,JAMMU & KASHMIR
Mala Dair,Shupiyan,JAMMU & KASHMIR
Hef- Kuri,Shupiyan,JAMMU & KASHMIR
Sugan,Shupiyan,JAMMU & KASHMIR
Drager,Shupiyan,JAMMU & KASHMIR
Chilli Pora,Shupiyan,JAMMU & KASHMIR
Heff,Shupiyan,JAMMU & KASHMIR
Kashwah,Shupiyan,JAMMU & KASHMIR
Reshi Pora,Shupiyan,JAMMU & KASHMIR
Shermal,Shupiyan,JAMMU & KASHMIR
Aglar Charat,Shupiyan,JAMMU & KASHMIR
Wachi,Shupiyan,JAMMU & KASHMIR
Malawrah,Shupiyan,JAMMU & KASHMIR
Safanagri,Shupiyan,JAMMU & KASHMIR
Zaina Pora,Shupiyan,JAMMU & KASHMIR
Baba Pora,Shupiyan,JAMMU & KASHMIR
Durah Pora,Shupiyan,JAMMU & KASHMIR
Awnera,Shupiyan,JAMMU & KASHMIR
Chera Marg,Shupiyan,JAMMU & KASHMIR
Nari Marg,Shupiyan,JAMMU & KASHMIR
Mujah Marg,Shupiyan,JAMMU & KASHMIR
Rakh-I-Zaina Pora,Shupiyan,JAMMU & KASHMIR
Reban Gund Bahram,Shupiyan,JAMMU & KASHMIR
Khajah Pora,Shupiyan,JAMMU & KASHMIR
Haider Gund,Shupiyan,JAMMU & KASHMIR
Sofi Pora,Shupiyan,JAMMU & KASHMIR
Chitra Gam,Shupiyan,JAMMU & KASHMIR
Bandah Paho,Shupiyan,JAMMU & KASHMIR
Chidvi Pora,Shupiyan,JAMMU & KASHMIR
Dasso,Shupiyan,JAMMU & KASHMIR
Ali Shah Pora,Shupiyan,JAMMU & KASHMIR
Amer Bogh,Shupiyan,JAMMU & KASHMIR
Drawni,Shupiyan,JAMMU & KASHMIR
Hoshang Pora,Shupiyan,JAMMU & KASHMIR
Ura Pora,Shupiyan,JAMMU & KASHMIR
Hamhonala,Shupiyan,JAMMU & KASHMIR
Dobi Pora,Shupiyan,JAMMU & KASHMIR
Wadi Pora,Shupiyan,JAMMU & KASHMIR
Badi Gam,Shupiyan,JAMMU & KASHMIR
Kani Gam,Shupiyan,JAMMU & KASHMIR
Lari,Shupiyan,JAMMU & KASHMIR
Nori Poshwari,Shupiyan,JAMMU & KASHMIR
Sago Hand Hama,Shupiyan,JAMMU & KASHMIR
Dangar Pora,Shupiyan,JAMMU & KASHMIR
Molo,Shupiyan,JAMMU & KASHMIR
Tranz,Shupiyan,JAMMU & KASHMIR
Mohan Pora,Shupiyan,JAMMU & KASHMIR
Bagh -I -Hari Pora,Shupiyan,JAMMU & KASHMIR
Tharan,Shupiyan,JAMMU & KASHMIR
Adora Ram Pathri,Shupiyan,JAMMU & KASHMIR
Nazneen Pora,Shupiyan,JAMMU & KASHMIR
Patar Wal,Shupiyan,JAMMU & KASHMIR
Doma Wani,Shupiyan,JAMMU & KASHMIR
Sandho Shermal,Shupiyan,JAMMU & KASHMIR
Watho,Shupiyan,JAMMU & KASHMIR
Mati Pora,Shupiyan,JAMMU & KASHMIR
Buta Maran Wanpora,Shupiyan,JAMMU & KASHMIR
Rakhi Nara Pora,Shupiyan,JAMMU & KASHMIR
Ranbir Pora Nowabad,Shupiyan,JAMMU & KASHMIR
Barthi Pora,Shupiyan,JAMMU & KASHMIR
Maishah War,Shupiyan,JAMMU & KASHMIR
Mast Pora,Shupiyan,JAMMU & KASHMIR
Kellar,Shupiyan,JAMMU & KASHMIR
Chawan,Shupiyan,JAMMU & KASHMIR
Jampathri,Shupiyan,JAMMU & KASHMIR
Rengwar,Shupiyan,JAMMU & KASHMIR
Pahali Pora,Shupiyan,JAMMU & KASHMIR
Makan-I-Douaro,Shupiyan,JAMMU & KASHMIR
Nasar Pora,Shupiyan,JAMMU & KASHMIR
Zerakan (Zorakan),Shupiyan,JAMMU & KASHMIR
Tharan Kandi,Shupiyan,JAMMU & KASHMIR
Veshro,Shupiyan,JAMMU & KASHMIR
Goti Pora,Shupiyan,JAMMU & KASHMIR
Nara Pora,Shupiyan,JAMMU & KASHMIR
Kani Pora,Shupiyan,JAMMU & KASHMIR
Gano Pora,Shupiyan,JAMMU & KASHMIR
Balah Pora,Shupiyan,JAMMU & KASHMIR
Utar Pora Pahali Pora,Shupiyan,JAMMU & KASHMIR
Pargochi,Shupiyan,JAMMU & KASHMIR
Krawora,Shupiyan,JAMMU & KASHMIR
Khoram Pora,Shupiyan,JAMMU & KASHMIR
Losdano,Shupiyan,JAMMU & KASHMIR
Kanso,Shupiyan,JAMMU & KASHMIR
Zaina Bato,Shupiyan,JAMMU & KASHMIR
Mali Bagh,Shupiyan,JAMMU & KASHMIR
Barah Bugh,Shupiyan,JAMMU & KASHMIR
Hari Pora,Shupiyan,JAMMU & KASHMIR
Chater Wosh,Shupiyan,JAMMU & KASHMIR
Kargam ,Shupiyan,JAMMU & KASHMIR
Hillow Gun-I-Murid,Shupiyan,JAMMU & KASHMIR
Hardo Pandove,Shupiyan,JAMMU & KASHMIR
Gund - I- Darvesh,Shupiyan,JAMMU & KASHMIR
Nerwani,Shupiyan,JAMMU & KASHMIR
Mani Hal,Shupiyan,JAMMU & KASHMIR
Dreri Kali Pora,Shupiyan,JAMMU & KASHMIR
Brari Porah Pala Pora,Shupiyan,JAMMU & KASHMIR
Choti Pora,Shupiyan,JAMMU & KASHMIR
Gund -I- Uwan,Shupiyan,JAMMU & KASHMIR
Uwan,Shupiyan,JAMMU & KASHMIR
Sangren,Shupiyan,JAMMU & KASHMIR
Wacho Hallan ,Shupiyan,JAMMU & KASHMIR
Now Pora,Shupiyan,JAMMU & KASHMIR
Baskochan,Shupiyan,JAMMU & KASHMIR
Chanchawar,Shupiyan,JAMMU & KASHMIR
Kelro Malik Gund,Shupiyan,JAMMU & KASHMIR
Pinjorah,Shupiyan,JAMMU & KASHMIR
Pahano,Shupiyan,JAMMU & KASHMIR
Aglar,Shupiyan,JAMMU & KASHMIR
Sherabad (Zawora Baderhama),Shupiyan,JAMMU & KASHMIR
Manlo,Shupiyan,JAMMU & KASHMIR
Katho Halan,Shupiyan,JAMMU & KASHMIR
Day Gam,Shupiyan,JAMMU & KASHMIR
Arahama,Shupiyan,JAMMU & KASHMIR
Habdi Pora,Shupiyan,JAMMU & KASHMIR
Lara Gam,Shupiyan,JAMMU & KASHMIR
Lawahend,Shupiyan,JAMMU & KASHMIR
Gano Pora Arash,Shupiyan,JAMMU & KASHMIR
Nadi Gam,Shupiyan,JAMMU & KASHMIR
Dagah Pora,Shupiyan,JAMMU & KASHMIR
Kotah Pora,Shupiyan,JAMMU & KASHMIR
Chaki Sidiq Khan,Shupiyan,JAMMU & KASHMIR
Manzim Pora,Shupiyan,JAMMU & KASHMIR
Tachalo ,Shupiyan,JAMMU & KASHMIR
Tulran,Shupiyan,JAMMU & KASHMIR
Kherwarah,Shupiyan,JAMMU & KASHMIR
Kani Hama,Shupiyan,JAMMU & KASHMIR
Nildorah,Shupiyan,JAMMU & KASHMIR
Abal Wanah,Shupiyan,JAMMU & KASHMIR
Aloorah,Shupiyan,JAMMU & KASHMIR
Badi Marg,Shupiyan,JAMMU & KASHMIR
Reshi Pora,Shupiyan,JAMMU & KASHMIR
Chako,Shupiyan,JAMMU & KASHMIR
Herman,Shupiyan,JAMMU & KASHMIR
Lamdoora,Shupiyan,JAMMU & KASHMIR
Gahend,Shupiyan,JAMMU & KASHMIR
Chode Gam,Shupiyan,JAMMU & KASHMIR
Haji Pora,Shupiyan,JAMMU & KASHMIR
Hardo Nagisheran,Shupiyan,JAMMU & KASHMIR
Kumdalan,Shupiyan,JAMMU & KASHMIR
Rawal Pora,Shupiyan,JAMMU & KASHMIR
Dashi Pora,Shupiyan,JAMMU & KASHMIR
Sharat Pora,Shupiyan,JAMMU & KASHMIR
Memandar,Shupiyan,JAMMU & KASHMIR
Gagren,Shupiyan,JAMMU & KASHMIR
Chaki- Shamshi Pora,Shupiyan,JAMMU & KASHMIR
Narwaw,Shupiyan,JAMMU & KASHMIR
Pala Pora,Shupiyan,JAMMU & KASHMIR
Chowdari Gund,Shupiyan,JAMMU & KASHMIR
Awind,Shupiyan,JAMMU & KASHMIR
Bimini Pora,Shupiyan,JAMMU & KASHMIR
Hanji Pora,Shupiyan,JAMMU & KASHMIR
Gada Pora,Shupiyan,JAMMU & KASHMIR
Ratni Pora,Shupiyan,JAMMU & KASHMIR
Chakorah,Shupiyan,JAMMU & KASHMIR
Reni Pora Khasi Pora,Shupiyan,JAMMU & KASHMIR
Matri Bagh,Shupiyan,JAMMU & KASHMIR
Murad Pora ,Shupiyan,JAMMU & KASHMIR
Bata Pora Niladang,Shupiyan,JAMMU & KASHMIR
Hind Sita Pora,Shupiyan,JAMMU & KASHMIR
Chaki Cholend,Shupiyan,JAMMU & KASHMIR
Wangi Pora,Shupiyan,JAMMU & KASHMIR
Pader Pora,Shupiyan,JAMMU & KASHMIR
Tengah Pora,Shupiyan,JAMMU & KASHMIR
Partap Pora,Shupiyan,JAMMU & KASHMIR
Zipora Dharamarth,Shupiyan,JAMMU & KASHMIR
Rakahamah ,Shupiyan,JAMMU & KASHMIR
Wangam Sodershan Pora,Shupiyan,JAMMU & KASHMIR
Teki Pora,Shupiyan,JAMMU & KASHMIR
Halow Pora,Shupiyan,JAMMU & KASHMIR
Dangam ,Shupiyan,JAMMU & KASHMIR
Kach Dorah,Shupiyan,JAMMU & KASHMIR
Mangi Pora,Shupiyan,JAMMU & KASHMIR
Makan -I -Danger Pora,Shupiyan,JAMMU & KASHMIR
Vehel Chatta Watan,Shupiyan,JAMMU & KASHMIR
Shamshi Pora,Shupiyan,JAMMU & KASHMIR
Said Pora Pain,Shupiyan,JAMMU & KASHMIR
Said Pora Bala,Shupiyan,JAMMU & KASHMIR
Gund -I-Hado,Shupiyan,JAMMU & KASHMIR
Kani Pora,Shupiyan,JAMMU & KASHMIR
Chowgam,Shupiyan,JAMMU & KASHMIR
Hir Pora,Shupiyan,JAMMU & KASHMIR
Sedheve ,Shupiyan,JAMMU & KASHMIR
Reshnagri,Shupiyan,JAMMU & KASHMIR
Ram Nagri,Shupiyan,JAMMU & KASHMIR
Amshi Pora,Shupiyan,JAMMU & KASHMIR
Nowgam,Shupiyan,JAMMU & KASHMIR
Chatri Pora,Shupiyan,JAMMU & KASHMIR
Gadhi Pora,Shupiyan,JAMMU & KASHMIR
Rakha Pora Nack Pora,Shupiyan,JAMMU & KASHMIR
Kapren,Shupiyan,JAMMU & KASHMIR
Brari Pora,Shupiyan,JAMMU & KASHMIR
Rei,Shupiyan,JAMMU & KASHMIR
Hei Pora Bata Gund,Shupiyan,JAMMU & KASHMIR
Pandoshan,Shupiyan,JAMMU & KASHMIR
Kanjiuler,Shupiyan,JAMMU & KASHMIR
Posh Hamah,Shupiyan,JAMMU & KASHMIR
Adijan Adwan,Shupiyan,JAMMU & KASHMIR
Mandojan,Shupiyan,JAMMU & KASHMIR
Purso,Shupiyan,JAMMU & KASHMIR
Feri Pora,Shupiyan,JAMMU & KASHMIR
Dev Pora (Forest Block),Shupiyan,JAMMU & KASHMIR
Anantnag,Anantnag,JAMMU & KASHMIR
Pahalgam,Anantnag,JAMMU & KASHMIR
Arow,Anantnag,JAMMU & KASHMIR
Mandlana,Anantnag,JAMMU & KASHMIR
Lari Pora,Anantnag,JAMMU & KASHMIR
Fraslana,Anantnag,JAMMU & KASHMIR
Vir Siran,Anantnag,JAMMU & KASHMIR
Lidroo,Anantnag,JAMMU & KASHMIR
Kohilangoojran,Anantnag,JAMMU & KASHMIR
Bot-Kote,Anantnag,JAMMU & KASHMIR
Lari,Anantnag,JAMMU & KASHMIR
Awoora,Anantnag,JAMMU & KASHMIR
Nalla  Awoora,Anantnag,JAMMU & KASHMIR
Dehwathu,Anantnag,JAMMU & KASHMIR
Mowrah,Anantnag,JAMMU & KASHMIR
Srechhan,Anantnag,JAMMU & KASHMIR
Bot Kote Gujran,Anantnag,JAMMU & KASHMIR
Yanier,Anantnag,JAMMU & KASHMIR
Chrari Gam,Anantnag,JAMMU & KASHMIR
Kular,Anantnag,JAMMU & KASHMIR
Hardu Kithal Sofi Pora,Anantnag,JAMMU & KASHMIR
Lehan Dajan,Anantnag,JAMMU & KASHMIR
Wularama,Anantnag,JAMMU & KASHMIR
Wahdan,Anantnag,JAMMU & KASHMIR
Gansh Pora,Anantnag,JAMMU & KASHMIR
Hardu Kichroo,Anantnag,JAMMU & KASHMIR
Kanz Gam,Anantnag,JAMMU & KASHMIR
Salar,Anantnag,JAMMU & KASHMIR
Lewar,Anantnag,JAMMU & KASHMIR
Amar Wagar,Anantnag,JAMMU & KASHMIR
Grand Aish ( Aishmuquam),Anantnag,JAMMU & KASHMIR
Ainu Brai,Anantnag,JAMMU & KASHMIR
Ichi Nar,Anantnag,JAMMU & KASHMIR
Wajoora,Anantnag,JAMMU & KASHMIR
Logri Pora,Anantnag,JAMMU & KASHMIR
Diaroo,Anantnag,JAMMU & KASHMIR
Jummoh,Anantnag,JAMMU & KASHMIR
Badaran,Anantnag,JAMMU & KASHMIR
Kathsu,Anantnag,JAMMU & KASHMIR
Chatrasoo Badroo,Anantnag,JAMMU & KASHMIR
Dachee Gam,Anantnag,JAMMU & KASHMIR
Gundi Siligam,Anantnag,JAMMU & KASHMIR
Srangsoo,Anantnag,JAMMU & KASHMIR
Karshn Gam,Anantnag,JAMMU & KASHMIR
Bedigam,Anantnag,JAMMU & KASHMIR
Malik Gund,Anantnag,JAMMU & KASHMIR
Manzi Gam,Anantnag,JAMMU & KASHMIR
Chhani Gam,Anantnag,JAMMU & KASHMIR
Shum Hall,Anantnag,JAMMU & KASHMIR
Dadran Khandi Pora,Anantnag,JAMMU & KASHMIR
Hapat Nar,Anantnag,JAMMU & KASHMIR
Hangal Pahoo,Anantnag,JAMMU & KASHMIR
Khai Yar,Anantnag,JAMMU & KASHMIR
Yal,Anantnag,JAMMU & KASHMIR
Chandri Gam,Anantnag,JAMMU & KASHMIR
Hassan Noor,Anantnag,JAMMU & KASHMIR
Now Gam,Anantnag,JAMMU & KASHMIR
Rakhi Chandi Pora,Anantnag,JAMMU & KASHMIR
Singh Pora,Anantnag,JAMMU & KASHMIR
Sili Gam,Anantnag,JAMMU & KASHMIR
Sakhras,Anantnag,JAMMU & KASHMIR
Siri Gofwara,Anantnag,JAMMU & KASHMIR
Hanoman Pora,Anantnag,JAMMU & KASHMIR
Adlash Magam,Anantnag,JAMMU & KASHMIR
Trail,Anantnag,JAMMU & KASHMIR
Dirhama,Anantnag,JAMMU & KASHMIR
Peth Nambal,Anantnag,JAMMU & KASHMIR
Forest Block,Anantnag,JAMMU & KASHMIR
Bijbehara,Anantnag,JAMMU & KASHMIR
Sither Satghar,Anantnag,JAMMU & KASHMIR
Marhama,Anantnag,JAMMU & KASHMIR
Sir Hama,Anantnag,JAMMU & KASHMIR
Khiram,Anantnag,JAMMU & KASHMIR
Now Shehra,Anantnag,JAMMU & KASHMIR
Mahind,Anantnag,JAMMU & KASHMIR
Hati Gam,Anantnag,JAMMU & KASHMIR
Vedai,Anantnag,JAMMU & KASHMIR
Dari Gund,Anantnag,JAMMU & KASHMIR
Beya Warah,Anantnag,JAMMU & KASHMIR
Khush Roi Kalan,Anantnag,JAMMU & KASHMIR
Katu,Anantnag,JAMMU & KASHMIR
Shiti Pora,Anantnag,JAMMU & KASHMIR
Shala Gam,Anantnag,JAMMU & KASHMIR
Waghama,Anantnag,JAMMU & KASHMIR
Gund Nowroze,Anantnag,JAMMU & KASHMIR
Rakhi Kitri Teng,Anantnag,JAMMU & KASHMIR
Kandi Pora,Anantnag,JAMMU & KASHMIR
Inder Mooni (Takiya Maqsood Shah),Anantnag,JAMMU & KASHMIR
Opzan,Anantnag,JAMMU & KASHMIR
Sotki Pora,Anantnag,JAMMU & KASHMIR
Bander Pora,Anantnag,JAMMU & KASHMIR
Chini Gund,Anantnag,JAMMU & KASHMIR
Chunda Pora,Anantnag,JAMMU & KASHMIR
Kanalwan,Anantnag,JAMMU & KASHMIR
Aswara,Anantnag,JAMMU & KASHMIR
Meera Gund,Anantnag,JAMMU & KASHMIR
Dupt Yar,Anantnag,JAMMU & KASHMIR
Hayar,Anantnag,JAMMU & KASHMIR
Kitriteng,Anantnag,JAMMU & KASHMIR
Takia Bal,Anantnag,JAMMU & KASHMIR
Gari Seer,Anantnag,JAMMU & KASHMIR
Gantali Pora,Anantnag,JAMMU & KASHMIR
Thaji War,Anantnag,JAMMU & KASHMIR
Krandi-Gam,Anantnag,JAMMU & KASHMIR
Gadhanji Pora (Zir Pora),Anantnag,JAMMU & KASHMIR
Veeri,Anantnag,JAMMU & KASHMIR
Gori,Anantnag,JAMMU & KASHMIR
Ader,Anantnag,JAMMU & KASHMIR
Niyana Gund Baba Khalil,Anantnag,JAMMU & KASHMIR
Sangam,Anantnag,JAMMU & KASHMIR
Tula Khan,Anantnag,JAMMU & KASHMIR
Hamzeh Pora,Anantnag,JAMMU & KASHMIR
Semithan.,Anantnag,JAMMU & KASHMIR
Gund Nasir,Anantnag,JAMMU & KASHMIR
Jabli Pora,Anantnag,JAMMU & KASHMIR
Rakh Hassain Pora ,Anantnag,JAMMU & KASHMIR
 Rakh Moman Dangit Pora,Anantnag,JAMMU & KASHMIR
Trubji,Anantnag,JAMMU & KASHMIR
Gund Chel,Anantnag,JAMMU & KASHMIR
Haussan Pora Bagh,Anantnag,JAMMU & KASHMIR
Subhan Pahari,Anantnag,JAMMU & KASHMIR
Anantnag,Anantnag,JAMMU & KASHMIR
Bat Pora,Anantnag,JAMMU & KASHMIR
Salia Ponchal Pora,Anantnag,JAMMU & KASHMIR
Hardu Akar ,Anantnag,JAMMU & KASHMIR
Fohar,Anantnag,JAMMU & KASHMIR
Ari Gohal,Anantnag,JAMMU & KASHMIR
Mulsoo,Anantnag,JAMMU & KASHMIR
Ganai Gund ,Anantnag,JAMMU & KASHMIR
Mush Khasa Rasool Khandi,Anantnag,JAMMU & KASHMIR
Tang Marg,Anantnag,JAMMU & KASHMIR
Panz Mulla,Anantnag,JAMMU & KASHMIR
Brar Ani Gandan,Anantnag,JAMMU & KASHMIR
Now Pora Khover Para,Anantnag,JAMMU & KASHMIR
Vail Nag Bal,Anantnag,JAMMU & KASHMIR
Manigam,Anantnag,JAMMU & KASHMIR
Hutmarah,Anantnag,JAMMU & KASHMIR
Bona Gund,Anantnag,JAMMU & KASHMIR
Bona Nambal ,Anantnag,JAMMU & KASHMIR
Kherah Bugh,Anantnag,JAMMU & KASHMIR
Hugam ,Anantnag,JAMMU & KASHMIR
Push Kriri,Anantnag,JAMMU & KASHMIR
Ram Pora,Anantnag,JAMMU & KASHMIR
Momin Hall,Anantnag,JAMMU & KASHMIR
Akura,Anantnag,JAMMU & KASHMIR
Mati Pora,Anantnag,JAMMU & KASHMIR
Nanilang,Anantnag,JAMMU & KASHMIR
Now Bugh,Anantnag,JAMMU & KASHMIR
Rakhi Now Bugh,Anantnag,JAMMU & KASHMIR
Sifan,Anantnag,JAMMU & KASHMIR
Areh Bugh,Anantnag,JAMMU & KASHMIR
Anz Walla,Anantnag,JAMMU & KASHMIR
Pai Bugh,Anantnag,JAMMU & KASHMIR
Krewa Rampur,Anantnag,JAMMU & KASHMIR
Ranbir Pora,Anantnag,JAMMU & KASHMIR
Karewa Chithi Singh Pora,Anantnag,JAMMU & KASHMIR
Devi Pora,Anantnag,JAMMU & KASHMIR
Kawari Gam,Anantnag,JAMMU & KASHMIR
Isoo,Anantnag,JAMMU & KASHMIR
Arsoo,Anantnag,JAMMU & KASHMIR
Hardu Toru,Anantnag,JAMMU & KASHMIR
Khirman Tail Wani,Anantnag,JAMMU & KASHMIR
Khirmon Toru,Anantnag,JAMMU & KASHMIR
Tail Wani,Anantnag,JAMMU & KASHMIR
Karewa Kangan Hal,Anantnag,JAMMU & KASHMIR
Magri Pora,Anantnag,JAMMU & KASHMIR
Kadeh Pora ,Anantnag,JAMMU & KASHMIR
Gopal Pora Kalan,Anantnag,JAMMU & KASHMIR
Gopal Pora Khurad,Anantnag,JAMMU & KASHMIR
Chithi Manzhama,Anantnag,JAMMU & KASHMIR
Nun Wani,Anantnag,JAMMU & KASHMIR
Krewa Brak Pora,Anantnag,JAMMU & KASHMIR
Srundoo,Anantnag,JAMMU & KASHMIR
Watari Gam,Anantnag,JAMMU & KASHMIR
Wani Hama,Anantnag,JAMMU & KASHMIR
Peth Dial Gam,Anantnag,JAMMU & KASHMIR
Ugjan,Anantnag,JAMMU & KASHMIR
Kamar,Anantnag,JAMMU & KASHMIR
Lallan,Anantnag,JAMMU & KASHMIR
Chichiri Pora,Anantnag,JAMMU & KASHMIR
Rohu,Anantnag,JAMMU & KASHMIR
Moni Ward,Anantnag,JAMMU & KASHMIR
Ganoora,Anantnag,JAMMU & KASHMIR
Peth Bugh,Anantnag,JAMMU & KASHMIR
Hardu Shichan,Anantnag,JAMMU & KASHMIR
Fateh Pora,Anantnag,JAMMU & KASHMIR
Pal Pora,Anantnag,JAMMU & KASHMIR
Brenti Bat Pora,Anantnag,JAMMU & KASHMIR
Imoh,Anantnag,JAMMU & KASHMIR
Thaji Wara,Anantnag,JAMMU & KASHMIR
Rakhi Tail Wani,Anantnag,JAMMU & KASHMIR
Kangan Hal,Anantnag,JAMMU & KASHMIR
Shamsi Pora,Anantnag,JAMMU & KASHMIR
Woran Hall,Anantnag,JAMMU & KASHMIR
Kanji Gund,Anantnag,JAMMU & KASHMIR
Sofi Gund Bago Gund,Anantnag,JAMMU & KASHMIR
Sar Suna Anantnag,Anantnag,JAMMU & KASHMIR
Turka Thachloo,Anantnag,JAMMU & KASHMIR
Shalwan  Pora,Anantnag,JAMMU & KASHMIR
Kharman Ganish,Anantnag,JAMMU & KASHMIR
Laram Jangi Pora,Anantnag,JAMMU & KASHMIR
Chera Hama ,Anantnag,JAMMU & KASHMIR
Lali Pora Mala Pora,Anantnag,JAMMU & KASHMIR
Naw Wathu ,Anantnag,JAMMU & KASHMIR
Forah,Anantnag,JAMMU & KASHMIR
Zodar,Anantnag,JAMMU & KASHMIR
Bomthan,Anantnag,JAMMU & KASHMIR
Nipor,Anantnag,JAMMU & KASHMIR
Rakh Chee (OG),Anantnag,JAMMU & KASHMIR
Chee (OG),Anantnag,JAMMU & KASHMIR
Mir Gund (OG),Anantnag,JAMMU & KASHMIR
Takai Bahram Shah (OG),Anantnag,JAMMU & KASHMIR
Ghat Pushwari (OG),Anantnag,JAMMU & KASHMIR
Bagh Nowgam (OG),Anantnag,JAMMU & KASHMIR
Mong Hall (OG),Anantnag,JAMMU & KASHMIR
Haji Danter (OG),Anantnag,JAMMU & KASHMIR
Bona Dialgam (OG),Anantnag,JAMMU & KASHMIR
Uttersoo Naji Gund (OG),Anantnag,JAMMU & KASHMIR
Ul Bug Nowgam (OG),Anantnag,JAMMU & KASHMIR
Khirman Dooni Pahoo (OG),Anantnag,JAMMU & KASHMIR
Dooni Pahoo (OG),Anantnag,JAMMU & KASHMIR
Brak Pora (OG),Anantnag,JAMMU & KASHMIR
Fateh Garh (OG),Anantnag,JAMMU & KASHMIR
Chiti Pai Bug (OG),Anantnag,JAMMU & KASHMIR
Shamsi Pora (OG),Anantnag,JAMMU & KASHMIR
Batengo (OG),Anantnag,JAMMU & KASHMIR
Khandi Pahari (OG),Anantnag,JAMMU & KASHMIR
Shangus,Anantnag,JAMMU & KASHMIR
Reni Pora,Anantnag,JAMMU & KASHMIR
Khul Chohar,Anantnag,JAMMU & KASHMIR
Kradi,Anantnag,JAMMU & KASHMIR
Rakhi Brah,Anantnag,JAMMU & KASHMIR
Brah,Anantnag,JAMMU & KASHMIR
Datho Nag Narin,Anantnag,JAMMU & KASHMIR
Aho Paisan,Anantnag,JAMMU & KASHMIR
Chhatar Gul,Anantnag,JAMMU & KASHMIR
Bimar Narsar,Anantnag,JAMMU & KASHMIR
Chakil Pora,Anantnag,JAMMU & KASHMIR
Thim Ran,Anantnag,JAMMU & KASHMIR
Tunj Mulla,Anantnag,JAMMU & KASHMIR
Chogam,Anantnag,JAMMU & KASHMIR
Chera Pora,Anantnag,JAMMU & KASHMIR
Sheikh Pora,Anantnag,JAMMU & KASHMIR
Sher Gund,Anantnag,JAMMU & KASHMIR
Kriri   ,Anantnag,JAMMU & KASHMIR
Uttarsoo ,Anantnag,JAMMU & KASHMIR
Van Gam,Anantnag,JAMMU & KASHMIR
Sheikh Gund,Anantnag,JAMMU & KASHMIR
Nowgam Kothar,Anantnag,JAMMU & KASHMIR
Samb Rana,Anantnag,JAMMU & KASHMIR
Kot Hair,Anantnag,JAMMU & KASHMIR
Ogje Balan,Anantnag,JAMMU & KASHMIR
Andoora,Anantnag,JAMMU & KASHMIR
Kokernag,Anantnag,JAMMU & KASHMIR
Dam Hall,Anantnag,JAMMU & KASHMIR
Umar Khar,Anantnag,JAMMU & KASHMIR
Hard Pora,Anantnag,JAMMU & KASHMIR
Akin Gam ,Anantnag,JAMMU & KASHMIR
Hillar Arhama,Anantnag,JAMMU & KASHMIR
Mohri Pora,Anantnag,JAMMU & KASHMIR
Khal Har,Anantnag,JAMMU & KASHMIR
Bahali,Anantnag,JAMMU & KASHMIR
Booch,Anantnag,JAMMU & KASHMIR
Sagam,Anantnag,JAMMU & KASHMIR
Kandi Warin,Anantnag,JAMMU & KASHMIR
Dan Veth Pora,Anantnag,JAMMU & KASHMIR
Nagam,Anantnag,JAMMU & KASHMIR
Naroo Pora,Anantnag,JAMMU & KASHMIR
Bidder Hayat Pora,Anantnag,JAMMU & KASHMIR
Irkamoo,Anantnag,JAMMU & KASHMIR
Soaf Shalli,Anantnag,JAMMU & KASHMIR
Paniz Gam,Anantnag,JAMMU & KASHMIR
Khara  Pora,Anantnag,JAMMU & KASHMIR
Kehar Pora,Anantnag,JAMMU & KASHMIR
Nar Sanger,Anantnag,JAMMU & KASHMIR
Guri Draman,Anantnag,JAMMU & KASHMIR
Rain Ather,Anantnag,JAMMU & KASHMIR
Mati Handoo,Anantnag,JAMMU & KASHMIR
Gaw Ran,Anantnag,JAMMU & KASHMIR
Lisoo Bran Nar,Anantnag,JAMMU & KASHMIR
Now Bugh,Anantnag,JAMMU & KASHMIR
Desu Now Bugh,Anantnag,JAMMU & KASHMIR
Iqbal Pora(Kharatti),Anantnag,JAMMU & KASHMIR
Lar Noo,Anantnag,JAMMU & KASHMIR
Niamat Pora (Drawari),Anantnag,JAMMU & KASHMIR
Deval Gam,Anantnag,JAMMU & KASHMIR
Addi Gam,Anantnag,JAMMU & KASHMIR
Bindoo Zalan Gam,Anantnag,JAMMU & KASHMIR
Takia Magam ,Anantnag,JAMMU & KASHMIR
Nala Sund Brari,Anantnag,JAMMU & KASHMIR
Cheri Tanzi (Dawood Pora),Anantnag,JAMMU & KASHMIR
Gad Wail,Anantnag,JAMMU & KASHMIR
Badhi Har,Anantnag,JAMMU & KASHMIR
Dandi Pora,Anantnag,JAMMU & KASHMIR
Adeh Hall,Anantnag,JAMMU & KASHMIR
